,0
0,2
1,3
2,6
3,5
4,3
5,2
6,3
7,3
8,4
9,6
10,5
11,5
12,5
13,7
14,1
15,4
16,3
17,5
18,6
19,5
20,7
21,6
22,6
23,4
24,7
25,1
26,7
27,1
28,7
29,2
30,2
31,5
32,6
33,2
34,3
35,1
36,5
37,7
38,7
39,7
40,3
41,1
42,2
43,3
44,6
45,7
46,7
47,7
48,3
49,1
50,1
51,1
52,1
53,3
54,2
55,7
56,5
57,7
58,5
59,2
60,7
61,2
62,4
63,6
64,2
65,7
66,2
67,4
68,3
69,4
70,5
71,5
72,7
73,3
74,6
75,6
76,2
77,6
78,5
79,1
80,4
81,3
82,1
83,2
84,5
85,3
86,3
87,4
88,7
89,5
90,5
91,7
92,7
93,2
94,1
95,1
96,3
97,5
98,7
99,6
100,6
101,1
102,6
103,7
104,2
105,4
106,1
107,4
108,4
109,3
110,6
111,6
112,5
113,5
114,3
115,4
116,4
117,3
118,2
119,5
120,2
121,7
122,6
123,4
124,2
125,7
126,2
127,2
128,2
129,5
130,7
131,6
132,4
133,6
134,5
135,3
136,5
137,5
138,1
139,4
140,5
141,2
142,4
143,6
144,4
145,5
146,3
147,5
148,6
149,6
150,1
151,2
152,2
153,5
154,3
155,2
156,3
157,3
158,5
159,6
160,6
161,2
162,5
163,6
164,7
165,1
166,7
167,6
168,1
169,2
170,2
171,1
172,5
173,3
174,2
175,1
176,3
177,1
178,3
179,6
180,6
181,6
182,4
183,7
184,1
185,7
186,4
187,5
188,3
189,1
190,5
191,5
192,1
193,1
194,5
195,1
196,4
197,7
198,1
199,2
200,3
201,6
202,7
203,4
204,7
205,1
206,1
207,6
208,5
209,2
210,4
211,1
212,3
213,6
214,6
215,6
216,5
217,3
218,2
219,4
220,1
221,7
222,6
223,2
224,7
225,6
226,2
227,5
228,6
229,2
230,2
231,1
232,5
233,6
234,3
235,4
236,6
237,3
238,1
239,1
240,4
241,1
242,3
243,7
244,5
245,3
246,6
247,4
248,5
249,7
250,1
251,2
252,2
253,4
254,5
255,5
256,5
257,1
258,1
259,1
260,1
261,6
262,7
263,6
264,3
265,3
266,4
267,1
268,4
269,4
270,2
271,5
272,4
273,5
274,4
275,3
276,5
277,3
278,7
279,2
280,3
281,4
282,4
283,4
284,7
285,3
286,1
287,7
288,4
289,4
290,2
291,3
292,1
293,7
294,4
295,7
296,1
297,4
298,4
299,3
300,1
301,2
302,2
303,6
304,5
305,6
306,1
307,6
308,3
309,4
310,7
311,7
312,3
313,4
314,4
315,2
316,7
317,6
318,5
319,6
320,2
321,7
322,4
323,7
324,2
325,4
326,4
327,2
328,3
329,3
330,3
331,1
332,5
333,2
334,6
335,4
336,2
337,5
338,4
339,4
340,2
341,6
342,4
343,2
344,6
345,2
346,4
347,5
348,7
349,4
350,3
351,3
352,5
353,6
354,1
355,3
356,7
357,3
358,5
359,6
360,4
361,2
362,3
363,6
364,7
365,6
366,2
367,6
368,1
369,7
370,4
371,5
372,3
373,2
374,6
375,7
376,5
377,7
378,4
379,3
380,1
381,3
382,2
383,2
384,5
385,3
386,1
387,6
388,4
389,3
390,3
391,4
392,4
393,3
394,5
395,4
396,4
397,1
398,6
399,1
400,4
401,3
402,3
403,3
404,5
405,3
406,7
407,7
408,7
409,2
410,6
411,1
412,2
413,5
414,1
415,2
416,3
417,5
418,7
419,3
420,4
421,3
422,7
423,1
424,1
425,5
426,7
427,3
428,3
429,6
430,5
431,7
432,4
433,7
434,7
435,2
436,7
437,1
438,6
439,7
440,6
441,2
442,5
443,1
444,3
445,5
446,7
447,1
448,6
449,5
450,7
451,2
452,5
453,6
454,6
455,2
456,3
457,4
458,5
459,1
460,7
461,5
462,2
463,3
464,1
465,6
466,4
467,4
468,7
469,1
470,2
471,5
472,6
473,4
474,2
475,1
476,5
477,4
478,7
479,2
480,5
481,4
482,3
483,7
484,1
485,1
486,2
487,3
488,7
489,1
490,1
491,4
492,1
493,1
494,5
495,2
496,5
497,3
498,7
499,7
500,5
501,4
502,5
503,3
504,1
505,1
506,5
507,2
508,7
509,1
510,3
511,1
512,3
513,2
514,1
515,6
516,3
517,2
518,5
519,6
520,2
521,3
522,1
523,7
524,2
525,4
526,5
527,5
528,6
529,4
530,1
531,3
532,7
533,5
534,4
535,7
536,4
537,2
538,4
539,3
540,5
541,6
542,3
543,4
544,2
545,7
546,7
547,4
548,4
549,4
550,4
551,5
552,5
553,5
554,6
555,3
556,2
557,4
558,2
559,2
560,3
561,5
562,1
563,1
564,3
565,7
566,1
567,6
568,6
569,4
570,7
571,7
572,7
573,2
574,6
575,1
576,2
577,1
578,4
579,7
580,5
581,7
582,2
583,5
